v,p_r,p_r_true,Meanp_r,LowerCI,UpperCI
0,0.002,0.002,0.0021,0.00194,0.0022
1,0.002,0.002,0.0016,0.0014,0.0018
2,0.002,0.002,0.0007,0.0006,0.0009
3,0.002,0.002,0.0005,0.0004,0.0007
0,0.004,0.004,0.0042,0.0039,0.0044
1,0.004,0.004,0.0033,0.003,0.0037
2,0.004,0.004,0.002,0.0017,0.0024
3,0.004,0.004,0.001,0.0007,0.0013
0,0.006,0.006,0.0064,0.006,0.0067
1,0.006,0.006,0.0049,0.0045,0.0054
2,0.006,0.006,0.0031,0.0026,0.0038
3,0.006,0.006,0.0017,0.0014,0.0022
0,0.008,0.008,,,
1,0.008,0.008,,,
2,0.008,0.008,,,
3,0.008,0.008,,,
0,0.01,0.01,,,
1,0.01,0.01,,,
2,0.01,0.01,,,
3,0.01,0.01,,,
0,0.015,0.015,0.0159,0.0151,0.0167
1,0.015,0.015,0.0147,0.0134,0.0162
2,0.015,0.015,0.009,0.0076,0.0108
3,0.015,0.015,0.0052,0.0042,0.0067
0,0.0185,0.0185,,,
1,0.0185,0.0185,,,
2,0.0185,0.0185,,,
3,0.0185,0.0185,,,
0,0.02,0.02,,,
1,0.02,0.02,,,
2,0.02,0.02,,,
3,0.02,0.02,,,
